Id,DeveloperName,MasterLabel,Status,TotalLicenses,UsedLicenses,PermissionSetLicenseKey,ExpirationDate,LicenseExpirationPolicy,IsSupplementLicense,IsAvailableForIntegrations,CreatedDate,LastModifiedDate
0PLRo0000006lCROAY,EinsteinGPTSalesCallSummariesPsl,Einstein Conversation Insights AI User License,Active,325,0,EinsteinGPTSalesCallSummariesPsl,2027-08-02,,false,false,2025-08-01T04:08:22.000+0000,2026-08-15T06:02:59.000+0000
0PLRo0000001UyYOAU,CallCoachingStandardPsl,Einstein Conversation Insights Standard,Disabled,0,0,CallCoachingStandardPsl,2027-05-16,,false,false,2024-05-15T02:57:26.000+0000,2026-08-15T06:02:59.000+0000
0PLRo0000003P1uOAE,EinsteinGPTGroundingStructuredDataPsl,Einstein GPT Metadata Studio,Active,50,1,EinsteinGPTGroundingStructuredDataPsl,2027-01-12,,false,false,2024-10-18T01:45:49.000+0000,2026-08-15T06:02:59.000+0000
0PLRo0000006lCOOAY,EinsteinGPTSalesEmailsPsl,Einstein GPT Sales Emails,Active,325,0,EinsteinGPTSalesEmailsPsl,2027-08-02,,false,false,2025-08-01T04:08:22.000+0000,2026-08-15T06:02:59.000+0000
0PLRo0000003P1wOAE,EinsteinGPTPromptTemplatesPsl,Einstein Prompt Templates,Active,100,4,EinsteinGPTPromptTemplatesPsl,2027-01-12,,false,false,2024-10-18T01:45:49.000+0000,2026-08-15T06:02:59.000+0000
0PLRo0000006lCSOAY,EinsteinGPTSalesSummariesPsl,Einstein Sales Summaries,Active,325,0,EinsteinGPTSalesSummariesPsl,2027-08-02,,false,false,2025-08-01T04:08:22.000+0000,2026-08-15T06:02:59.000+0000
0PL4O00000003GGWAY,MySearchPsl,Einstein Search,Active,326,0,MySearchPsl,2027-08-02,,false,false,2019-10-17T00:03:55.000+0000,2026-08-15T06:02:59.000+0000
0PL5b0000010xGPGAY,EmployeeUserPsl,Employee Access,Active,445,0,EmployeeUserPsl,2027-08-02,,false,false,2023-12-30T00:24:21.000+0000,2026-08-15T06:02:59.000+0000
0PL5b0000010xGOGAY,EmployeeManagementPsl,Employee Management,Active,445,0,EmployeeManagementPsl,2027-08-02,,false,false,2023-12-30T00:24:21.000+0000,2026-08-15T06:02:59.000+0000
0PLRo0000000OlVOAU,EnablementLitePsl,Enablement Lite,Active,15,0,EnablementLitePsl,2027-08-02,,false,false,2024-02-10T06:05:11.000+0000,2026-08-15T06:02:59.000+0000
0PLRo0000006lCNOAY,EmbeddedServiceMessagingUserPsl,Enhanced Chat User,Active,470,0,EmbeddedServiceMessagingUserPsl,2027-08-02,,false,false,2025-08-01T04:08:22.000+0000,2026-08-15T06:02:59.000+0000
0PLRo0000006lCWOAY,ERIPlatformBasic,ERI Basic,Active,325,0,ERIPlatformBasic,2027-08-02,,false,false,2025-08-01T04:08:22.000+0000,2026-08-15T06:02:59.000+0000
0PLRo0000001V6dOAE,FieldServiceDispatcherPsl,Field Service Dispatcher,Active,50,43,FieldServiceDispatcherPsl,2027-08-02,,false,false,2024-05-15T04:04:40.000+0000,2026-08-15T06:02:59.000+0000
0PLRo0000001V6bOAE,FieldServiceGuestUserPsl,Field Service Guest User,Active,17000,0,FieldServiceGuestUserPsl,2027-08-02,,false,false,2024-05-15T04:04:40.000+0000,2026-08-15T06:02:59.000+0000
0PLRo0000001V6cOAE,FieldServiceMobilePsl,Field Service Mobile,Active,145,113,FieldServiceMobilePsl,2027-08-02,,false,false,2024-05-15T04:04:40.000+0000,2026-08-15T06:02:59.000+0000
0PLRo0000001V6eOAE,FieldServiceSchedulingPsl,Field Service Scheduling,Active,145,112,FieldServiceSchedulingPsl,2027-08-02,,false,false,2024-05-15T04:04:40.000+0000,2026-08-15T06:02:59.000+0000
0PLRo0000001V6gOAE,FieldServiceStandardPsl,Field Service Standard,Active,1450170,30,FieldServiceStandardPsl,2027-08-02,,false,false,2024-05-15T04:04:40.000+0000,2026-08-15T06:02:59.000+0000
0PLRo0000003MoqOAE,IndustriesServiceExcellencePsl,Industry Service Excellence,Active,445,0,IndustriesServiceExcellencePsl,2027-08-02,,false,false,2024-10-17T01:36:06.000+0000,2026-08-15T06:02:59.000+0000
0PLRo0000003E4rOAE,MarketingCloudPsl,Marketing Cloud,Active,1000,4,MarketingCloudPsl,2027-01-12,,false,false,2024-10-12T05:15:58.000+0000,2026-08-15T06:02:59.000+0000
0PLRo0000003P1vOAE,MarketingCopilotCampaignActionsPsl,Marketing Copilot Campaign Actions,Active,1000,1,MarketingCopilotCampaignActionsPsl,2027-01-12,,false,false,2024-10-18T01:45:49.000+0000,2026-08-15T06:02:59.000+0000
0PL5b000000LW3nGAG,PipelineInspectionPsl,Pipeline Inspection,Active,326,3,PipelineInspectionPsl,2027-08-02,,false,false,2023-03-22T08:09:08.000+0000,2026-08-15T06:02:59.000+0000
0PLRo0000005pt7OAA,PriceProtectionStandardUserPsl,Price Protection for Standard Users,Active,300,0,PriceProtectionStandardUserPsl,2027-08-02,,false,false,2025-04-12T13:14:49.000+0000,2026-08-15T06:02:59.000+0000
0PLRo0000009rQ8OAI,ProductCatalogManagementAdministratorPsl,Product Catalog Management Administrator,Active,60,0,ProductCatalogManagementAdministratorPsl,2027-08-02,,false,false,2026-03-06T18:16:58.000+0000,2026-08-15T06:02:59.000+0000
0PLRo0000009rQ7OAI,ProductCatalogManagementViewerPsl,Product Catalog Management Viewer,Active,120,0,ProductCatalogManagementViewerPsl,2027-08-02,,false,false,2026-03-06T18:16:58.000+0000,2026-08-15T06:02:59.000+0000
