Id,Name,Label,Description,LicenseId,IsCustom,IsOwnedByProfile,ProfileId,Profile.Name,NamespacePrefix,Type,HasActivationRequired,PermissionSetGroupId,CreatedDate,LastModifiedDate
0PS4O000000WtUHWA0,X00e4O000000NUBaQAO,00e4O000000NUBaQAO,,100U0000000Hb0mIAC,true,true,00e4O000000NUBaQAO,Marketing - Probo,,Profile,false,,2019-08-30T19:58:48.000+0000,2026-08-12T10:06:52.000+0000
0PS4O000000WtxEWAS,X00e4O000000NUJUQA4,00e4O000000NUJUQA4,,100U0000000Hb0mIAC,true,true,00e4O000000NUJUQA4,System Administrator Custom,,Profile,false,,2019-12-31T18:21:04.000+0000,2026-08-12T10:06:52.000+0000
0PS4O000000zpNwWAI,X00e4O000000uOjhQAE,00e4O000000uOjhQAE,,100U00000000paUIAQ,true,true,00e4O000000uOjhQAE,Payment Request Profile,,Profile,false,,2020-08-24T18:20:41.000+0000,2026-06-30T03:31:13.000+0000
0PS4O000000zpdaWAA,X00e4O000000uOsoQAE,00e4O000000uOsoQAE,,1004O000000JFthQAG,false,true,00e4O000000uOsoQAE,Identity User,,Profile,false,,2020-09-12T05:56:48.000+0000,2026-08-12T10:06:52.000+0000
0PS4O000000zpipWAA,X00e4O000000uOuQQAU,00e4O000000uOuQQAU,,100U0000000Hb0mIAC,true,true,00e4O000000uOuQQAU,Parts Sales User,,Profile,false,,2020-09-30T14:15:37.000+0000,2026-08-12T10:06:52.000+0000
0PS4O000000vLJgWAM,X00e4O000001AD42QAG,00e4O000001AD42QAG,,100U0000000Hb0mIAC,false,true,00e4O000001AD42QAG,Minimum Access - Salesforce,,Profile,false,,2020-07-18T06:00:57.000+0000,2026-08-12T10:06:52.000+0000
0PS4O000000vMZVWA2,X00e4O000001ADgLQAW,00e4O000001ADgLQAW,,100U0000000Hb0mIAC,true,true,00e4O000001ADgLQAW,Super User Admin,,Profile,false,,2021-04-12T23:05:16.000+0000,2026-08-12T10:06:52.000+0000
0PS4O000000vMbWWAU,X00e4O000001ADhdQAG,00e4O000001ADhdQAG,,100U00000000paUIAQ,true,true,00e4O000001ADhdQAG,Work Orders Profile,,Profile,false,,2021-04-20T12:12:30.000+0000,2026-06-30T03:31:14.000+0000
0PS5b000000DhJ5GAK,X00e5b000000DuUDAA0,00e5b000000DuUDAA0,,100U0000000Hb0mIAC,true,true,00e5b000000DuUDAA0,Integrations User,,Profile,false,,2022-10-17T19:55:47.000+0000,2026-08-12T10:06:52.000+0000
0PS5b000000HhLQGA0,X00e5b000000YaQ7AAK,00e5b000000YaQ7AAK,,100U00000000paUIAQ,true,true,00e5b000000YaQ7AAK,FSEReport Profile,,Profile,false,,2021-09-29T20:05:58.000+0000,2026-06-30T03:31:13.000+0000
