Id,ParentId,SobjectType,PermissionsRead,PermissionsCreate,PermissionsEdit,PermissionsDelete,PermissionsViewAllRecords,PermissionsModifyAllRecords
1100B000007sgqGQAQ,0PSU0000000SUL4OAO,OperatingHours,true,true,true,false,false,false
1100B000007sgqIQAQ,0PSU0000000SUL4OAO,ServiceResource,true,true,true,false,false,false
1100B000007sgqJQAQ,0PSU0000000SUL4OAO,ProductRequest,true,true,true,false,false,false
1100B000007sgqKQAQ,0PSU0000000SUL4OAO,ServiceTerritory,true,true,true,false,false,false
1100B000007sgqLQAQ,0PSU0000000SUL4OAO,WorkType,true,true,true,false,false,false
1100B000007sgqMQAQ,0PSU0000000SUL4OAO,Shipment,true,true,true,false,false,false
1100B000007sgqNQAQ,0PSU0000000SUL4OAO,ServiceAppointment,true,true,true,false,false,false
1100B000007sgqOQAQ,0PSU0000000SUL4OAO,ProductTransfer,true,true,true,false,false,false
1100B000007sgqPQAQ,0PSU0000000SUL4OAO,MaintenancePlan,true,true,true,false,false,false
1100B000007sgqQQAQ,0PSU0000000SUL4OAO,ProductItem,true,true,true,false,false,false
1100B000007sgqRQAQ,0PS0B000000b4dTWAQ,ProductTransfer,true,true,true,false,false,false
1100B000007sgqSQAQ,0PS0B000000b4dTWAQ,EntitlementContact,true,true,true,true,false,false
1100B000007sgqTQAQ,0PS0B000000b4dTWAQ,Shipment,true,true,true,false,false,false
1100B000007sgqVQAQ,0PS0B000000b4dTWAQ,ServiceAppointment,true,true,true,false,false,false
1100B000007sgqWQAQ,0PS0B000000b4dTWAQ,WorkOrder,true,true,true,false,false,false
1100B000007sgqXQAQ,0PS0B000000b4dTWAQ,Case,true,true,true,false,false,false
1100B000007sgqYQAQ,0PS0B000000b4dTWAQ,TimeSheet,true,true,true,false,false,false
1100B000007sgqZQAQ,0PS0B000000b4dTWAQ,ProductItem,true,true,true,false,false,false
1100B000007sgqaQAA,0PS0B000000b4dTWAQ,Order,true,true,true,true,false,false
1100B000007sgqcQAA,0PS0B000000b4dTWAQ,ServiceContract,true,true,true,false,false,false
1100B000007sgqdQAA,0PS0B000000b4dTWAQ,Location,true,true,true,false,false,false
1100B000007sgqeQAA,0PS0B000000b4dTWAQ,OperatingHours,true,true,true,false,false,false
1100B000007sgqfQAA,0PS0B000000b4dTWAQ,MaintenancePlan,true,true,true,false,false,false
1100B000007sgqgQAA,0PS0B000000b4dTWAQ,ProductRequest,true,true,true,false,false,false
1100B000007sgqhQAA,0PS0B000000b4dTWAQ,Address,true,true,true,false,false,false
1100B000007sgqiQAA,0PS0B000000b4dTWAQ,WorkType,true,true,true,false,false,false
1100B000007sgqjQAA,0PS0B000000b4dTWAQ,Contract,true,true,true,true,false,false
1100B000007sgqkQAA,0PS0B000000b4dTWAQ,Account,true,true,true,false,false,false
1100B000007sgqlQAA,0PS0B000000b4dTWAQ,ServiceResource,true,true,true,false,false,false
1100B000007sgqmQAA,0PS0B000000b4dTWAQ,ServiceTerritory,true,false,false,false,false,false
1100B000007sgqnQAA,0PS0B000000b4dTWAQ,Contact,true,true,true,false,false,false
1100B000007sgqpQAA,0PS0B000000b4dTWAQ,Asset,true,true,true,false,false,false
1100B000007sgqqQAA,0PS0B000000b4dTWAQ,Entitlement,true,true,true,false,false,false
1100B000007sgqrQAA,0PS0B000000b4dTWAQ,Pricebook2,true,false,false,false,false,false
1100B000007sgqsQAA,0PS0B000000b4dTWAQ,Product2,true,false,false,false,false,false
1100B000007sgquQAA,0PS0B000000b4dTWAQ,Solution,true,false,false,false,false,false
1100B000007sgqvQAA,0PS0B000000b4dTWAQ,Document,true,false,false,false,false,false
1100B000007sgqwQAA,0PSU0000000SUL6OAO,TimeSheet,true,true,true,false,false,false
1100B000007sgqzQAA,0PSU0000000SUL6OAO,OperatingHours,true,true,true,false,false,false
1100B000007sgr1QAA,0PSU0000000SUL6OAO,ServiceResource,true,true,true,false,false,false
1100B000007sgr2QAA,0PSU0000000SUL6OAO,ProductRequest,true,true,true,false,false,false
1100B000007sgr3QAA,0PSU0000000SUL6OAO,ServiceTerritory,true,true,true,false,false,false
1100B000007sgr4QAA,0PSU0000000SUL6OAO,WorkType,true,true,true,false,false,false
1100B000007sgr5QAA,0PSU0000000SUL6OAO,Shipment,true,true,true,false,false,false
1100B000007sgr6QAA,0PSU0000000SUL6OAO,ServiceAppointment,true,true,true,false,false,false
1100B000007sgr7QAA,0PSU0000000SUL6OAO,ProductTransfer,true,true,true,false,false,false
1100B000007sgr8QAA,0PSU0000000SUL6OAO,MaintenancePlan,true,true,true,false,false,false
1100B000007sgr9QAA,0PSU0000000SUL6OAO,ProductItem,true,true,true,false,false,false
1100B000007sgrAQAQ,0PSU0000000SUL2OAO,TimeSheet,true,true,true,true,false,false
1100B000007sgrBQAQ,0PSU0000000SUL2OAO,ServiceTerritory,true,false,false,false,false,false
