"C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11","C12","C13","C14","C15","C16","C17","C18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31","C32"
"0PS4O000000WtS6WAK","RMA_on_Evaluations","RMA on Evaluations","","false","","","true","Regular","","false","","","","","","0","","","1","1","1","1","1","1","1","1","0","1","2019-08-14 19:07:04 UTC","2025-05-30 21:01:41 UTC","https://probomedical.my.salesforce.com/0PS4O000000WtS6WAK"
"0PSRo0000005smBOAQ","RPAC2CPermSet","RPAC2CPermSet","","false","","","false","Session","force","true","","","","","","9","","Apex Rest Services; Api Enabled; Api User Only; Can Access CE; Chatter Internal User; Manage Named Credentials; Password Never Expires; Run Flow; View Non Setup Flow","116","116","86","91","90","106","89","0","0","0","2018-06-18 05:10:21 UTC","2026-08-15 06:02:55 UTC","https://probomedical.my.salesforce.com/0PSRo0000005smBOAQ"
"0PSRo000000EOk1OAG","Read_only_for_Dragonfly","Read only for Dragonfly","Read only access to ProductItem, RMA, Invoice, Item Receipt, Customer Equipment and Work Order Asset for Project Dragonfly","false","","","true","Regular","","false","","","","","","0","","","11","11","0","0","0","10","0","519","0","0","2026-06-01 16:15:54 UTC","2026-06-01 16:19:56 UTC","https://probomedical.my.salesforce.com/0PSRo000000EOk1OAG"
"0PSRo0000006udsOAA","RebateManagementReadOnlyPsl","Rebate Management Read-Only Access","Gives users read-only access to Rebate Management features.","false","","","false","Standard","force","false","","","","","","0","","","12","12","0","0","0","0","0","0","0","0","2025-04-12 13:14:49 UTC","2026-08-15 06:02:59 UTC","https://probomedical.my.salesforce.com/0PSRo0000006udsOAA"
"0PSRo000000EsBpOAK","RebateAndAccrualMgmtAdvncdReadOnlyPsl","Rebate and Accrual Management Advanced Read Only","Gives users access to view advanced rebate and accrual management features.","false","","","false","Standard","force","false","","","","","","0","","","12","12","0","0","0","0","0","0","0","0","2026-06-13 04:27:40 UTC","2026-08-15 06:02:59 UTC","https://probomedical.my.salesforce.com/0PSRo000000EsBpOAK"
"0PS4O000000WtUCWA0","Record_Types_Harrisburg_Sales","Record Types- Harrisburg Sales","","false","","","true","Regular","","false","","","","","","0","","","1","1","1","1","1","0","0","121","0","0","2019-08-30 14:01:12 UTC","2025-05-30 21:01:41 UTC","https://probomedical.my.salesforce.com/0PS4O000000WtUCWA0"
"0PS5b000001QEaKGAW","Refurb_Test_Refurb_Part_Request_Permissions","Refurb Test & Refurb Part Request Permissions","","false","","","true","Regular","","false","","","","","","0","","","2","2","2","2","0","2","0","35","0","2","2024-01-08 19:54:28 UTC","2025-05-30 21:01:41 UTC","https://probomedical.my.salesforce.com/0PS5b000001QEaKGAW"
"0PSRo000000A1hBOAS","RegrelloC2CPermSet","RegrelloC2CPermSet","","false","","","false","Session","force","true","","","","","","29","Assign Permission Sets; Customize Application; Manage Internal Users; Manage Password Policies; Manage Profiles Permissionsets; Manage Roles; Manage Sharing; Manage Users; Reset Passwords","Apex Rest Services; Api Enabled; Api User Only; Assign Permission Sets; Can Access CE; Chatter Internal User; Customize Application; Delegated Two Factor; Email Template Management; External Client App Admin; External Client App Developer; External Client App Viewer; Freeze Users; Manage Custom Permissions; Manage Internal Users; Manage Ip Addresses; Manage Login Access Policies; Manage Password Policies; Manage Profiles Permissionsets; Manage Roles; Manage Sharing; Manage Users; Monitor Login History; Password Never Expires; Reset Passwords; View All Users; View Client Secret; View Roles; View Setup","116","116","87","92","91","106","89","0","0","0","2018-06-18 05:10:21 UTC","2026-08-15 06:02:55 UTC","https://probomedical.my.salesforce.com/0PSRo000000A1hBOAS"
"0PS0B000000b5ywWAA","Repairable_Fields","Repairable Fields","","false","","","true","Regular","","false","","","","","","0","","","0","0","0","0","0","0","0","2","0","0","2018-02-13 19:40:22 UTC","2025-05-30 21:01:41 UTC","https://probomedical.my.salesforce.com/0PS0B000000b5ywWAA"
"0PS0B000000b5tcWAA","Reports_and_Dashboards","Reports and Dashboards","","false","","","true","Regular","","false","","","","","","20","","Can Use New Dashboard Builder; Change Dashboard Colors; Create Customize Dashboards; Create Customize Reports; Create Dashboard Folders; Create Report Folders; Edit My Dashboards; Edit My Reports; Export Report; Manage Custom Report Types; Manage Dashbds In Pub Folders; Manage Reports In Pub Folders; New Report Builder; Run Reports; Schedule Job; Schedule Reports; View Public Dashboards; View Public Reports; View Roles; View Setup","0","0","0","0","0","0","0","0","0","0","2018-02-09 13:30:19 UTC","2025-05-30 21:01:41 UTC","https://probomedical.my.salesforce.com/0PS0B000000b5tcWAA"
