"Id","ParentId","SobjectType","PermissionsRead","PermissionsCreate","PermissionsEdit","PermissionsDelete","PermissionsViewAllRecords","PermissionsModifyAllRecords"
"1104O000009dQyeQAE","100U00000000paUIAQ","CommSubscription","true","false","false","false","false","false"
"1104O000009dQyfQAE","100U00000000paUIAQ","PartyConsent","true","true","false","false","false","false"
"1104O000009dQygQAE","100U00000000paUIAQ","OperatingHours","true","false","false","false","false","false"
"1104O000009dQyhQAE","100U00000000paUIAQ","CommSubscriptionConsent","true","true","false","false","false","false"
"1104O000009dQyiQAE","100U00000000paUIAQ","ServiceResource","true","false","false","false","false","false"
"1104O000009dQyjQAE","100U00000000paUIAQ","WorkType","true","false","false","false","false","false"
"1104O000009dQykQAE","100U00000000paUIAQ","ServiceAppointment","true","true","false","false","false","false"
"1104O000009dQylQAE","100U00000000paUIAQ","Quote","true","true","false","false","false","false"
"1104O000009dQymQAE","100U00000000paUIAQ","CommSubscriptionTiming","true","true","false","false","false","false"
"1104O000009dQynQAE","100U00000000paUIAQ","CommSubscriptionChannelType","true","false","false","false","false","false"
"1104O000009dQyqQAE","100U0000000Hb0mIAC","DelegatedAccount","true","true","true","true","true","true"
"1104O000009dQzwQAE","1000B0000009MgqQAE","DelegatedAccount","true","false","false","false","true","false"
"1104O000009dR11QAE","1000B0000009MtsQAE","EngagementChannelType","true","true","true","true","true","true"
"1104O000009dR1DQAU","1000B0000009MtsQAE","CommSubscriptionTiming","true","false","true","true","true","true"
"1104O000009dR1EQAU","1000B0000009MtsQAE","CommSubscriptionChannelType","true","true","true","true","true","true"
"1104O000009dR1LQAU","1000B0000009MtsQAE","CommSubscription","true","true","true","true","true","true"
"1104O000009dR1OQAU","1000B0000009MtsQAE","CommSubscriptionConsent","true","false","true","true","true","true"
"1104O000009dR1RQAU","0PSU0000000SUL3OAO","EngagementChannelType","true","false","false","false","false","false"
"1104O000009dR1UQAU","0PSU0000000SUL3OAO","PartyConsent","true","false","false","false","false","false"
"1104O000009dR1WQAU","0PSU0000000SUL3OAO","CommSubscriptionTiming","true","false","false","false","false","false"
"1104O000009dR1XQAU","0PSU0000000SUL3OAO","CommSubscriptionChannelType","true","false","false","false","false","false"
"1104O000009dR1YQAU","0PSU0000000SUL3OAO","CommSubscription","true","false","false","false","false","false"
"1104O000009dR1ZQAU","0PSU0000000SUL3OAO","CommSubscriptionConsent","true","false","false","false","false","false"
"1104O000009dR1aQAE","0PSU0000000SUL4OAO","EngagementChannelType","true","true","true","true","false","false"
"1104O000009dR1dQAE","0PSU0000000SUL4OAO","CommSubscription","true","true","true","true","false","false"
"1104O000009dR1eQAE","0PSU0000000SUL4OAO","PartyConsent","true","true","true","true","false","false"
"1104O000009dR1fQAE","0PSU0000000SUL4OAO","CommSubscriptionConsent","true","true","true","true","false","false"
"1104O000009dR1hQAE","0PSU0000000SUL4OAO","CommSubscriptionTiming","true","true","true","true","false","false"
"1104O000009dR1iQAE","0PSU0000000SUL4OAO","CommSubscriptionChannelType","true","true","true","true","false","false"
"1104O000009dR1jQAE","0PSU0000000SUL2OAO","EngagementChannelType","true","false","true","true","false","false"
"1104O000009dR1mQAE","0PSU0000000SUL2OAO","PartyConsent","true","true","true","true","false","false"
"1104O000009dR1oQAE","0PSU0000000SUL2OAO","CommSubscriptionTiming","true","true","true","true","false","false"
"1104O000009dR1pQAE","0PSU0000000SUL2OAO","CommSubscriptionChannelType","true","false","true","true","false","false"
"1104O000009dR1qQAE","0PSU0000000SUL2OAO","CommSubscription","true","false","true","true","false","false"
"1104O000009dR1rQAE","0PSU0000000SUL2OAO","CommSubscriptionConsent","true","true","true","true","false","false"
