DurableId,QualifiedApiName,Label
01I5b0000003Plo,FlowTableViewDefinition__c,FlowTableViewDefinition
01I5b0000003Pls,ers_datatableConfig__c,ers_datatableConfig
01I5b0000003Sps,sansancard__SSCard__c,SSCard
01I5b0000003Spt,sansancard__ScanToSalesforce_Setting__c,ScanToSalesforce Setting
01I5b0000003Spu,sansancard__TransferMeta__c,Transfer Metadata
01I5b000001lpYt,Refurb_Test__c,Refurb Test
01I5b000001lpYy,Refurb_Part_Request__c,Refurb Part Request
01I5b000001lpZX,Tech_Ship_Location_Junction__c,Tech Ship Location Junction
01I5b000001lpZY,Technician_Ship_Location__c,Technician Ship Location
01I5b000001lpcv,Non_Conforming_Record__c,Non-Conforming Record
01I5b000001lpjI,Pricing_Request_Response__c,Pricing Request Response
01IRo000002CkY2,FSL__Polygon__c,Map Polygon
01I5b000001lpy8,Unreceipted_Invoice__c,Unreceipted Invoice
01IRo000002CkY3,FSL__SLR_Cache__c,SLR Cache
01IRo000002CkY5,FSL__SchedulingRecipe__c,Scheduling Recipe
01IRo000002CkY6,FSL__Scheduling_Policy_Goal__c,Scheduling Policy Objective
01IRo000002CkY7,FSL__Scheduling_Policy_Work_Rule__c,Scheduling Policy Work Rule
01IRo000002CkY8,FSL__Scheduling_Policy__c,Scheduling Policy
01IRo000002CkYA,FSL__Service_Goal__c,Service Objective
01IRo000002CkYD,FSL__Territory_Optimization_Request__c,Territory Optimization Request
01IRo000002CkYE,FSL__Time_Dependency__c,Appointment Dependency
01IRo000002CkYH,FSL__UserSetting__c,User Setting
01IRo000002CkYI,FSL__User_Setting_Territory__c,User Setting Territory
01IRo000002CkYJ,FSL__User_Territory__c,User Territory
01IRo000002CkYK,FSL__Work_Rule_Entry__c,Work Rule Entry
01IRo000002CkYL,FSL__Work_Rule__c,Work Rule
01IRo000002d2Ll,Credit_Memo_Line_Item__c,Credit Memo Line Item
01IRo0000032JUg,IR_Product__c,IR Product
01IRo000003PrAf,Capital_Asset_Transfer__c,Capital Asset Transfer
01IRo0000041dmb,Intercompany_Transfer__c,Intercompany Transfer
01IRo000004ha17,Invoice_Line_Item__c,Invoice Line Item
01IRo000007PMZB,Monthly_Salesforce_Cases_Snapshot__c,Monthly Salesforce Cases Snapshot
01IRo000007c44z,Document_Review__c,Document Review
01IRo000007coSn,WOLI_App_Extension__c,WOLI App Extension
01IRo000007hMVt,Change_Request__c,Change Request
01IRo000007lYzu,Disaster_Recovery_Billing_Rule__c,Disaster Recovery Billing Rule
01IRo000007lYzv,Disaster_Recovery_Project__c,Disaster Recovery Project
01IRo000007lYzw,Project_Charge_Line_Item__c,Project Charge Line Item
01IRo000007lYzx,Project_Charge__c,Project Charge
01IRo0000087l8t,Documentation__c,Documentation
01IRo0000087mGD,Supplier_Documentation__c,Supplier Documentation
01IRo0000088kCL,Product_Analytics__c,Product Analytics
01I4O000000neRG,ChargentBase__Payment_Request_Configuration__mdt,Payment Request Configuration
01I4O000000nfEy,dlrs__LookupRollupSummary2__mdt,Lookup Rollup Summary
01I4O000000tROJ,Commission_Plan__mdt,Commission Plan
01IRo000005jvor,StateTranslation__mdt,StateTranslation
01I5b000000VH9D,inov8__PMT_Setting__mdt,PMT Setting
01I5b000002202b,DOZISF__JWT_Setting__mdt,JWT Setting
01IRo000002CkXt,FSL__O2_Settings__mdt,O2 Settings
01IRo000007lYzt,Activity_Product_Mapping__mdt,Activity Product Mapping
