"Id","Name","Stock_Checked__c","Inventory_Count_Date__c","Location__c","Current_Location__c","Physical_Location__c"
"a06Ro00000CNaKHIA1","339642","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake, UT  - Test - NC01A1",""
"a06Ro00000CNaKIIA1","339643","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake, UT  - Test - NC01A1",""
"a06Ro00000CNaKJIA1","339644","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake, UT  - Test - NC01A1",""
"a06Ro00000CNaKKIA1","339645","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake, UT  - Test - NC01A1",""
"a06Ro00000CNaKLIA1","339646","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake, UT  - Test - NC01A1",""
"a06Ro00000CNaKMIA1","339647","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake, UT  - Test - NC01A1",""
"a06Ro00000CNaKNIA1","339648","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake, UT  - Test - NC01A1",""
"a06Ro00000CNaKOIA1","339649","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake, UT  - Test - NC01A1",""
"a06Ro00000CNaKPIA1","339650","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake, UT  - Core - NC09C2A",""
"a06Ro00000CNaKQIA1","339651","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake, UT  - Core - NC10E3D",""
"a06Ro00000CNaKRIA1","339652","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake, UT  - Test - NC01A3",""
"a06Ro00000CNaKSIA1","339653","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake, UT  - Core - NC03A2",""
"a06Ro00000CNaKTIA1","339654","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake, UT  - Core - NC03A2",""
"a06Ro00000CNaKUIA1","339655","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake, UT  - Test - NC01A2",""
"a06Ro00000CNaKVIA1","339656","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake, UT  - Test - NC01A2",""
